Rank,Word,Pronunciation,PoS,Definition
410,allocation,/??l.??ke?.??n/,noun,"???????an amount of money, space, etc. that is given to somebody for a particular purpose"
787,altitude,/??l.t??tud/,noun,???????the height of something above sea level
814,aluminum,/??lu.m?.n?m/,noun,???????a very light silvery-white metal used to make cans and pans
299,amino,/??mi.no?/,noun,???????a substance that combines to form the structure of proteins
431,amongst,/??m??st/,prep,???????in or through a group
137,amplitude,/??m.pl??tud/,noun,"???????the breadth, width or largeness of something; in electronics: the maximum deviation of an alternating current from its average value."
447,analogy,/??n?l.?.d?i/,noun,???????comparing two similar things
607,ancestor,/??n.s?s.t?/,noun,???????a person from your family that lived in the past
638,anthropology,/??n.¦Èr??p?l.?.d?i/,noun,???????the study of human origins and the development of society
732,anti,/?n.t?/,prefix,???????a prefix meaning 'against' or 'opposed'
639,antibiotic,/??n.t?.ba???t.?k/,adj,???????concerning medicine that is used to fight certain diseases
62,antibody,/??n.t??b?d.i/,noun,???????a defense provided by the body against disease
758,antiquity,/?n?t?k.w?.ti/,noun,???????an ancient period; something made a long time ago
286,appendix,/?p?nd?ks/,noun,???????a short tube joined to the intestine; extra information at the end of a book
950,applause,/??pl?z/,noun,???????the sound made by clapping and cheering a performance or speech
781,apple,/?p?l/,noun,???????a hard round red or green fruit with a white center
270,approximate,/?pr¨»ks?m?t/,adj,???????about; not exact but close
117,approximation,/??pr?k.s??me?.??n/,noun,"???????almost, but not exactly; more or less"
180,arbitrary,/?¨»r.b??tr?r.i/,adj,???????unsupported
241,archaeology,/?¨»r.ki??l.?.d?i/,noun,"???????the study of ancient societies by looking at old tools, bones and buildings"
561,architect,/?¨»r.k??t?kt/,noun,???????a person who designs buildings
229,array,/??re?/,noun,???????a large group of people or things; a regular order or arrangement; in maths: a series of figures.
361,arrow,/???.??/,noun,???????a symbol to give direction; a long piece of wood shot from a bow
440,articulate,/¨»r?t?k.j??le?t/,verb,???????to express yourself easily using language
529,artifact,/?¨»r.t??f?kt/,noun,"???????an object, such as a tool or weapon that was made by humans in the past"
369,artificial,/?¨»?(?).t??f??.?l/,adj,???????something that is made by people; not natural
636,artistic,/¨»rt?st?k/,adj,???????having the sense or skill to create things well
917,artwork,/?¨»?t?w?k/,noun,???????photographs or pictures in a printed publication
5,aspect,/??s.p?kt/,noun,"???????a quality, part, or element"
314,assembly,/?s?mbli/,noun,???????a group of machine parts that fit together to form a tool or machine
290,assert,/??s?rt/,verb,???????to state firmly or confidently
375,assignment,/??sa?n.m?nt/,noun,???????work that you must do as part of a course of study or as part of your job
934,athletic,/?¦Èl?t?k/,adj,???????strong and physically capable
242,atom,/??t?m/,noun,???????the smallest unit; consisting of a nucleus (protons and neutrons) with electrons travelling around it
601,atomic,/??t?m.?k/,adj,???????concerning atoms
865,auction,/¨»k??n/,verb,???????to sell things at a public sale to the person who offers the highest price
803,audio,/??.di.o?/,adj,???????concerning sound
770,audit,/??.d?t/,verb,???????to examine carefully for accuracy
11,authority,/??¦È?r.?.ti/,noun,???????people in power; an expert whose views are accepted by most.
246,autonomy,/??t?n.?.mi/,noun,???????the power to make independent decisions
323,availability,/??ve?.l??b?l.?.ti/,noun,???????the state of being possible to use or obtain
643,axiom,/??k.si.?m/,noun,???????a statement that is accepted as true
113,axis,/??k.s?s/,noun,"???????a line about which a rotating body, such as the earth, turns."
568,backward,/?b?kw?d/,adv,???????toward what is behind you
703,bacteria,/b?kt?ri?/,noun,???????the very small creatures that sometimes cause disease in humans and animals
498,bacterial,/b?k?t??.ri.?l/,adj,???????concerning or caused by bacteria
923,bang,/b??/,verb,???????to strike something loudly or forcefully
657,bargain,/?b¨»r.g?n/,noun,???????something bought for a good price
866,barrel,/?b?r.?l/,noun,???????a round container with curved sides and flat ends
487,basin,/?be?.s?n/,noun,???????a water container that is wider than it is deep
667,bat,/b?t/,noun,???????a small animal that flies at night and looks like a mouse with large wings; an object used for hitting a ball
94,beam,/bim/,noun,???????a long piece of metal or wood; a line of light or energy
66,behavioral,/b??he?v.j?r.?l/,adj,???????concerning the way someone acts
68,bilingual,/ba??l??.gw?l/,noun,???????a person who speaks two languages
462,binary,/?ba?.n?.ri/,adj,???????having two parts
808,biodiversity,/?ba?.o?.d??v?r.s?.ti/,noun,"???????the variation in an environment, the number of different types of life found there"
822,biologist,/ba???l?d??st/,noun,???????a scientist who studies living things
249,biology,/ba?¨»l?d?i/,noun,???????the study of living things
880,bizarre,/b??z¨»r/,adj,???????odd or strange
791,blank,/bl??k/,adj,"???????something empty, not filled"
764,bleed,/?bli?d/,verb,???????to lose blood because of an injury
751,bodily,/?b¨»d?li/,adv,???????Moving someone with physical force
905,bonus,/?bo?.n?s/,noun,???????a reward
35,bound,/ba?nd/,verb,???????to go to a specified place; to jump
681,bracket,/?br?k.?t/,noun,???????a 90 degree piece of metal used to support a wall shelf
563,breakdown,/?b?e?kda?n/,noun,???????when normal activity or behaviour stops
548,broadly,/?br?d.li/,adv,"???????in a manner that includes general points, but not small details"
680,bubble,/?b?b.?l/,noun,"???????a small ball of air inside of a liquid, such as a soap bubble"
890,bucket,/?b?k.?t/,noun,???????an open container with a handle used to hold liquids
540,bulk,/b?lk/,noun,???????a big size
914,bullet,/?b?l.?t/,noun,"???????an object, usually metal, that is put in a gun and shot"
585,bundle,/?b?n.dl/,noun,???????a group of things that are tied together
313,calcium,/?k?l.si.?m/,noun,"???????a substance important for human and animal health, particularly for making bones and teeth"
83,calculation,/k??lky?le???n/,noun,???????the answer to a sum; the act of calculating
952,calculator,/?k?l.kj??le?.t?/,noun,???????a small electronic device used for calculation
261,calculus,/?k?l.kj?.l?s/,noun,???????a type of mathematics used for calculating such things as the slopes of curves
886,campus,/k?mp?s/,noun,"???????the site of an institution, such as a university campus"
710,capillary,/?k?p.??l?r.i/,noun,???????very small blood vessels
577,capitalism,/?k?p.?.tl??z.?m/,noun,???????an economic system based on private ownership of money and wealth
587,capitalist,/?k?p.?.tl.?st/,noun,???????a person who believes in an economic system based on private ownership of money and wealth
530,carrier,/?k?r.i.?/,noun,"???????a company, usually an airline, that carrys things"
379,cattle,/?k?t.l/,noun,???????cows or bulls on a farm
851,censor,/?s?ns?/,verb,"???????to remove parts of a book, film or letter for moral, religious, or political reasons"
267,characterization,/?k?r.?k.t?r.??ze?.??n/,noun,???????the way someone or something is described
906,cheat,/t?i?t/,verb,???????to break a rule to gain an advantage
931,cheer,/t??r/,verb,???????to shout praise or encouragement
642,chemistry,/k?m?stri/,noun,???????the study of the structure of substances and the way that they react with other substances
708,chemotherapy,/?ki.mo??¦È?r.?.pi/,noun,"???????the treatment of diseases, such as cancer, using chemicals"
935,chess,/t??s/,noun,"???????a game of strategy, for two players"
792,chloride,"/?kl?r.a?d, -?d/",noun,???????a chemical compound that is a mixture of chlorine and something else
102,chromosome,/?kro?.m??so?m/,noun,???????cell structures that carry the genetic material that is copied and passed to the next generation.
158,chronic,/kr¨»n?k/,adj,???????over a long time; serious
809,chunk,/t???k/,noun,???????a large part of something
841,cinema,/s?n?m?/,noun,???????a place for showing movies
938,circa,/?s?k?/,noun,???????an approximate time period
618,circulate,/s?ky?l?e?t/,verb,???????to go round continuously
420,circulation,/s?ky?l?e???n/,noun,???????the movement of blood through the body
496,civilization,/?s?v.?.la??ze?.??n/,noun,???????an organized society where technology and culture are highly developed
490,clarify,/kl?r?f?a?/,verb,???????to make something easier to understand
120,classification,/?kl?s.?.f??ke?.??n/,noun,???????objects or people put into categories with shared characteristics.
170,classify,/kl?s?f?a?/,verb,???????arrange or order by classes or categories
254,classroom,/?kl¨»?s??m/,noun,???????a room in school where you learn.
719,clay,/kle?/,noun,"???????heavy, sticky earth used to make pottery"
887,clever,/?kl?v?/,adj,???????intelligent and able to learn things quickly; smart
266,client,/?kla?.?nt/,noun,???????someone who pays for a service
556,clinic,/kl?n?k/,noun,???????a small hospital
848,clip,/kl?p/,noun,???????a metal holder used for keeping things together
403,clone,/klo?n/,verb,???????to make an exact copy of a living thing
320,closure,/klo???/,noun,???????the act of closing something
696,clue,/klu/,noun,???????a piece of information that helps explain a situation or provide a solution to a problem
39,coefficient,/?ko?.??f??.?nt/,noun,???????a number multiplied by a variable in a mathematical expression
17,cognitive,/?k?g.n?.t?v/,adj,???????the process of knowing and remembering
494,coherent,/ko??h??r.?nt/,adj,???????something logical and well-organized
179,collective,/k??l?k.t?v/,adj,???????formed by collection; (n.) an organisation
74,colonial,/k??lo?.ni.?l/,adj,???????concerning living in a colony
281,colony,/?k?l.?.ni/,noun,???????a group of people or animals of the same type; a country controlled by another country
879,comma,/?k?m.?/,noun,???????a mark that shows you when to take a break in the middle of a sentence
363,commentary,/?k?m.?n?t?r.i/,noun,"???????a discussion of a written work or event, usually to give greater explanation or opinion on it"
597,commodity,/k??m?d.?.ti/,noun,"???????something valuable, usually for sale"
134,commonly,/?k?m.?n.li/,adv,???????usually
571,communicative,/k??myu.n??ke?.t?v/,adj,???????likes to talk; open and expressive
626,communist,/?k?m.j?.n?st/,noun,???????a political system in which individual people do not own property or industries and people of all social classes are equal
185,compact,/k?m?p?kt/,adj,???????packed together; closely united; small
227,comparable,/?k?m.p?r.?.b?l/,adj,"???????similar to another thing, so that it is reasonable to compare them"
123,comparative,/k?m?p?r.?.t?v/,adj,???????similar to
600,compensate,/k¨»mp?ns?e?t/,verb,???????to give something to people who have lost something or done something for you
292,competence,/?k?m.p?.t?ns/,noun,???????the ability to do something in a satisfactory or effective way
743,competent,/?k?mp?t?nt/,adj,???????sufficiently qualified or capable of doing job
202,complement,/?k¨»mpl?m?nt/,noun,???????something needed to complete or make perfect
432,complication,/k?¨»mpl?ke???n/,noun,???????something that makes things harder to understand
769,comply,/k?mpla?/,verb,???????to act in agreement with another's wishes; to obey a rule
271,composer,/k?m?po?z??/,noun,???????a music writer
582,composite,/k?m?p?z.?t/,adj,???????made of more than one different part
275,comprehension,/?k?m.pr??h?n.??n/,noun,???????ability to understand
172,computation,/?k?m.pj??te?.??n/,noun,???????a calculation; a method of computing
417,conceive,/k?n?siv/,verb,"???????to think of, or create, something new (e.g. idea, child)"
161,conception,/k?n?s?p.??n/,noun,???????an idea or notion; the first stage in pregnancy
154,conceptual,/k?n?s?p.t?u.?l/,adj,???????characterized by concepts or the forming of concepts
251,conditional,/k?n?d??.?.n?l/,adj,???????depending on
802,conduction,/k?n?d?k.??n/,noun,"???????the transmission of heat, electricity or sound"
146,cone,/ko?n/,noun,???????a 3D shape with a circular base; a part of the eye
105,configuration,/k?n?f?g.j??re?.??n/,noun,???????a shape or outline; a method of arrangement
398,confine,/k?n?fa?n/,verb,???????to keep something or someone within a limited area so it cannot escape
742,confound,/k?n.fa?nd/,verb,"???????to confuse and greatly surprise someone, so that they are unable to explain a situation"
858,congruent,/?k??.gru.?nt/,adj,???????having the same shape and size
941,connector,/k??n?k.t?r/,noun,???????a device that joins things together
823,connotation,/?k?n.??te?.??n/,noun,???????an association; an implication
414,conscious,/?k¨»n.??s/,adj,???????able to understand what is happening around you
234,consciousness,/?k?n.??s.n?s/,noun,"???????the state of being awake, able to hear, see, and think"
366,consensus,/k?n?s?n.s?s/,noun,???????a decision that is shared by most of the members of a group
391,consent,/k?ns?nt/,verb,???????to agree or allow to do something
295,conservation,/?k¨»ns?(?)?ve???n/,noun,???????the management of land and water in ways that stop it from being damaged
537,conserve,/?k?ns??(?)v/,verb,???????to keep safe
248,consonant,/?k?n.s?.n?nt/,noun,???????a speech sound; any letter in the alphabet that is not a vowel.
469,constitution,/?k¨»n.st??tu.??n/,noun,???????a law determining the fundamental political principles of a government
296,constrain,/k?n?stre?n/,verb,???????to limit; to force someone to do something they don't want to do
593,consultation,/k?¨»ns?lte???n/,noun,???????a discussion between people to make a decision
67,consumption,/k?ns?mp??n/,noun,???????how much is spent on things; the process of eating and drinking
747,container,/k?n?te?.n?/,noun,???????an object that can be used to hold things; a big metal box
627,continent,/?k¨»n.t?.n?nt/,noun,???????one of the very large areas of land on Earth that are usually divided into several countries
219,continuity,/?k?n.tn?u.?.ti/,noun,???????a situation in which something happens or exists for a long time without stopping or changing
464,contour,/?k?n.t??r/,noun,???????the shape of the outside edge of something
620,contradict,/?k?n.tr??d?kt/,verb,"???????to disagree, to say the opposite is true"
381,contradiction,/k?¨»ntr?d?k??n/,noun,???????the act of saying that something is not true or very different
684,contradictory,/?k?n.tr??d?k.t?.ri/,adj,"???????containing information, statements, or beliefs that do not agree with one another"
252,contrary,/k¨»ntr?ri/,adj,???????different; opposite
452,controversy,/?k?n.tr??v?r.si/,noun,???????strong public disagreement about something
273,converge,/k?n?v?rd?/,verb,???????to come together
193,convergence,/k?n?v?r.d??ns/,noun,???????coming together
82,coordinate,/ko???r.dn?e?t/,verb,???????to bring order and organization to something; (n.) in maths: any of the magnitudes that serve to define the position of a point or line by reference to a fixed figure or system of lines.
532,coordination,/ko???r.dn?e?.??n/,noun,???????organizing people or things to make them work together effectively
589,cord,/k?rd/,noun,"???????a long, strong material, thicker than string but not as thick as rope; an electrical wire"
562,coronary,/?k?r.??n?r.i/,adj,???????concerning the heart
207,corpus,/?k?r.p?s/,noun,???????a body; in linguistics: a body of words
384,correction,/k??k??n/,noun,???????a change to make something right
421,correctly,/k??r?kt/,adv,???????in an accurate or correct manner
60,correlate,/?k?r.??le?t/,verb,???????to show the relationship between two items or events.
19,correlation,/?k?r.??le?.??n/,noun,???????a measure of the relationship between two variables
99,correspondence,/?k?r.??sp?n.d?ns/,noun,???????communication by writing; a similarity
617,corruption,/k??r?p.??n/,noun,"???????actions that are illegal or morally questionable, often performed by a person in a position of power"
139,cortex,/?k?r.t?ks/,noun,???????the outer part of an organ or structure
810,credibility,/?kr?d.??b?l.?.ti/,noun,???????believable or deserving trust
726,critically,/?k??t.?k.li/,adv,???????in a very serious manner
318,critique,/kr??tik/,noun,???????a review of the quality of a work
705,crude,/krud/,adj,???????basic or made without skill; rude; not refined
519,crystal,/?k??st?l/,noun,???????a solid formed by the solidification of a chemical
325,cue,/kju/,noun,???????a word or action during a stage play to tell an actor to speak
683,cure,"/kj??/,/kj?/",noun,???????a medicine or treatment that makes an ill person become healthy
492,curriculum,/k??r?k.j?.l?m/,noun,"???????a group of related courses, often in a special field of study:"
695,cyclic,/?s?k.l?k/,adj,???????a series of regular and repeated actions
510,cylinder,/?s?l.?n.d?r/,noun,"???????a shape or object with flat, circular ends and long, straight sides"
724,damp,/d?mp/,adj,???????a little wet
922,deadline,/?d?d.la?n/,noun,???????a date or time before which something must be done
413,decay,/d??ke?/,verb,???????to be slowly broken down by natural processes
895,deceive,/d??si?v/,verb,???????to make someone believe something that is not true
191,defect,/?di.f?kt/,noun,???????a problem; a fault
499,deficiency,/d??f??.?n.si/,noun,???????without something that is necessary
463,definite,/?d?f.?.n?t/,adj,"???????not likely to change, clearly decided"
894,deflection,/d??fl?k.??n/,noun,???????the action of making something move in a different direction
744,degrade,/d??gre?d/,verb,???????to treat someone without respect; to reduce in amount or strength
707,deliberately,/d??l?b???tli/,adv,"???????in a careful, considered manner"
824,delta,/?d?l.t?/,noun,???????the place a river divides before entering a larger body of water
951,demonstrator,/?d?m.?n.st?e?t.?r/,noun,???????someone who shows something (e.g. a product) and explains how it works
833,denominator,/d??n?m.??ne?.t?r/,noun,???????the bottom number in a fraction
10,denote,/d??no?t/,verb,???????be a name or symbol for something
343,dense,/d?ns/,adj,???????very thick
147,dependence,/d?p?nd?ns/,noun,???????the need of someone or something
324,depict,/d??p?kt/,verb,???????to describe someone or something
285,derivative,/d??r?v.?.t?v/,noun,???????something that has developed or been obtained from something else
957,descendant,/d??s?n.d?nt/,noun,???????someone who is related to a person or group of people who lived in the past
900,descriptor,/d??skr?p.t?r/,noun,???????a label; something that describes
795,destination,/?d?s.t??ne?.??n/,noun,???????the place one is traveling to
155,detection,/d??t?k.??n/,noun,???????the act of discovering something
34,developmental,/d??v?l.?p.m?nt/,adj,???????concerning the development or growth of a thing or person
184,deviation,/?di.vi?e?.??n/,noun,"???????not standard or normal; in statistics: the difference between one of a set of values and some fixed value, usually the mean of the set."
483,diagnose,/d?a??gno?s/,verb,"???????to determine the cause of something by examination, usually an illness"
56,diagnosis,/?da?.?g?no?.s?s/,noun,???????a decision made by an expert based on the results of an examination
218,diagnostic,/d?a??gn¨»st?k/,adj,"???????finding a problem, such as a physical or mental problem"
186,diagram,/da??gr??m/,noun,???????a drawing intended to explain how something works
280,dialect,/?da?.??l?kt/,noun,???????a way of speaking a language that is used only in a particular area or by a particular group
145,diameter,/da???m.?.t?r/,noun,???????the distance across the center of an object
663,diary,/?da?.?.?i/,noun,???????a book in which one writes what one has thought or done each day
689,dictate,/?d?k.te?t/,verb,???????to speak while another person (or computer) writes the words down
468,dictionary,/?d?k???n??i/,noun,???????a book with the meanings of many words
92,differential,/?d?f.??r?n.??l/,adj,???????difference; diversity
298,differentiate,/?d?f.??r?n.?i?e?t/,verb,???????to see or show a difference between things
319,differentiation,/?d?f.??r?n.?i?e?.??n/,noun,???????a discrimination between things as different and distinct
288,diffusion,/d??fju.??n/,noun,???????the movement of light in many directions
552,dilemma,/d??l?m.?/,noun,???????a position in which a person must make difficult choices
722,dilute,/da?.ljut/,verb,"???????to mix; to reduce in strength, concentration, quality or purity"
526,dimensional,/d??m?n.??n/,adj,???????having parts that extend in a number of directions
739,dioxide,/da???k.sa?d/,noun,???????an oxide containing two oxides per molecule
711,directive,/d????k.t?v/,noun,???????showing the way by conducting or leading
378,disability,/d?s??b?l?ti/,noun,???????a condition that limits a person's ability to do something
472,disadvantage,/?d?s?d?v?nt?d?/,noun,???????something that makes things difficult
348,discharge,/d?s?t?¨»rd?/,verb,???????to release someone or something
25,discourse,/?d?s.k?rs/,noun,"???????talk, conversation"
253,discrete,/d??skrit/,adj,???????separate; composed of distinct parts
394,discrimination,/d?sk??m??ne???n/,noun,???????the ability to recognize the difference between things; treating different groups of people unfairly
493,displacement,/d?s?ple?s.m?nt/,noun,???????the act of taking the place of something or someone else
850,dissection,/d??s?k.??n/,noun,???????the act or process of cutting something
559,dissertation,/?d?s.?r?te?.??n/,noun,???????an in-depth paper submitted for a doctorate degree
654,dissolve,/d??z¨»lv/,verb,???????to melt into a liquid so that a substance mixes with the liquid itself
3,distribution,/?d?s.tr??bju.??n/,noun,???????the way that something is spread out over a particular area or group
236,disturbance,/d??st?r.b?ns/,noun,???????a noise or something that stops you from continuing what you were doing
217,diverse,/da?.v?s/,adj,???????very different from each other
8,domain,/do??me?n/,noun,"???????a field of action, thought or influence; an area of knowledge"
409,dominance,/?d?m.?.n?ns/,noun,"???????being more powerful, successful, or important than others"
80,dominant,/?d?m.?.n?nt/,adj,???????strongest
735,domination,/?d¨»?m??ne???n/,noun,???????authority; rule; control
441,donor,/?do?.n?r/,noun,???????a person or group that gives gifts or money to help support an organization or cause
110,dose,/do?s/,noun,???????an amount of medicine to be taken at any one time
773,drain,/dre?n/,noun,"???????a pipe that removes water, or other liquids"
522,drift,/dr?ft/,verb,???????to move slowly
65,duration,/d??re?.??n/,noun,???????the length of time that something lasts
720,dye,/da?/,noun,???????a liquid that colors hair or cloth
6,dynamic,/da??n?.m?k/,adj,???????always active or changing; in physics: a force related to motion
350,ecological,/?i.k??l?d?.?.kl?/,adj,"???????concerning the environment, plants, or animals"
344,ecology,/??k?l.?.d?i/,noun,"???????the study of plants, animals, people, and their environments"
725,economically,/??.k??n¨»m.?k.li/,adv,???????in an efficient manner
565,economist,/??k¨»n.?.m?st/,noun,???????a person who studies economics
258,effectiveness,/??f?k.t?v.n?s/,noun,???????how well something works
405,elaborate,/??l?b.?r.?t/,adj,???????made or done with great care or with much detail
687,elastic,/??l?s.t?k/,adj,???????able to return to original shape or size after stretching
682,elasticity,/?.l??st?s.?.ti/,noun,???????the ability to stretch easily and then quickly return to the original shape
29,electron,/??l?k.tr?n/,noun,???????a negatively charged particle
586,elementary,/??l??m?nt??i/,adj,"???????basic, simple, or essential"
445,elevate,/?l?v?e?t/,verb,???????to make something higher
598,elevation,/??l.??ve?.??n/,noun,???????the height of a place
615,elimination,/?l?m??ne???n/,noun,???????the act or process of removing or being removed
116,elite,/??lit/,noun,???????superior; (n.) a superior group of people
199,embed,/?mb?d/,verb,???????to fix something inside something else
149,emergence,/??m?r.d??ns/,noun,???????the process of emerging/coming out
231,emission,/??m??.?n/,noun,"???????a substance, especially a gas, that goes into the air"
741,emit,/??m?t/,verb,???????to release or send something
786,emperor,/??m.p??.?/,noun,???????the man who rules an empire
49,empirical,/?m?p?r.?.k?l/,adj,???????based on observation or experiment
128,encode,/?n?ko?d/,verb,???????to change a message or information into code
693,enforcement,/?n?f?rs.m?nt/,noun,???????the act or process of making sure that rules are followed
884,enormously,/??n?r.m?s/,adv,"???????extremely, by a large amount"
211,entity,/??n.t?.ti/,noun,???????something that is real
945,entrant,/??nt??nt/,noun,???????a person who enters a contest
160,enzyme,/??n.za?m/,noun,???????a protein made by cells
649,epidemic,/??p.??d?m.?k/,adj,???????a disease affecting many people
653,epidemiology,/??p.??di.mi??l.?.d?i/,noun,???????the science of how diseases spread
206,equality,/??kw?l.?.ti/,noun,???????the idea that all people are the same
53,equilibrium,/?i.kw??l?b.ri.?m/,noun,???????a state of balance
358,equivalence,/??kw?v.?.l?ns/,noun,???????when something is equal to something else i.e. they are worth the same amount
845,erase,/?re?s/,verb,???????to remove written information or information on a computer memory
509,essence,/??s?ns/,noun,???????the most important part or quality of something
100,essentially,/??s?n??l?/,adv,"???????basically, primarily"
182,estimation,/??s.t??me?.??n/,noun,???????a rough calculation; an opinion
268,ethical,/??¦È.?.k?l/,adj,???????morally right or wrong
388,ethics,/?¦È?ks/,noun,"???????the moral principles, standards, and rules for deciding what is right and wrong"
153,evident,/?v?d?nt/,adj,"???????plain, clear"
177,evolutionary,/??v.??lu.???n?r.i/,adj,???????concerning evolution
162,ex,/?ks/,prefix,"???????a prefix meaning ""out of,"" ""from,"" or ""not"""
545,execute,/??k.s??kjut/,verb,???????to kill someone as a punishment; to finish something
465,execution,/??k.s??kju.??n/,noun,???????the act of killing a person as punishment for something
616,exit,/??k.s?t/,noun,???????a door that you go through to leave a place
578,expertise,/??k.sp?r?tiz/,noun,???????the special knowledge that an expert has on a subject
72,explicit,/?k?spl?s.?t/,adj,"???????definite, clearly stated"
152,explicitly,/?k?spl?s.?t.li/,adv,???????very clear; nothing hidden
354,exploit,/??k.spl??t/,verb,???????to use something or someone selfishly or unethically
503,exponential,/??k.spo??n?n.??l/,adj,???????a constant e raised to a power equal to a given expression: e.g. e3x is the exponential of 3x.
746,fabric,/f?br?k/,noun,???????cloth
805,facet,/?f?s.?t/,noun,???????a part of something
129,facilitate,/f?s?l?t?e?t/,verb,???????to make easier
898,factorial,/f?k?t?r.i.?l/,adj,???????concerning factors or factorials
637,faculty,/f?k?lti/,noun,???????the teachers in a school or college
655,fatigue,/f?tig/,noun,???????being very tired
178,feedback,/?fid?b?k/,noun,???????a response to a message; information about a person's behavior
328,fertility,/f?r?t?l.?.ti/,noun,???????the state of a female being able to produce young
274,fetal,/?fit.l/,adj,"???????concerning a fetus, an unborn baby"
669,fever,/?fiv?/,noun,???????a high body temperature
213,fiber,/?fa?.b?r/,noun,"???????a thin, threadlike part of an animal hair or plant tissue; an artificial thread; body cells that form muscles and nerves; a food substance"
813,fin,/f?n/,noun,"???????the flat, thin body parts of a fish that sticks out and helps guide it through water"
26,finite,/?fa?.na?t/,adj,???????having limits; lasting for a limited time
827,flesh,/fl??/,noun,???????the soft parts of the body
588,flexibility,/fl??ks?b?l?ti/,noun,???????the quality of being able to be bent or stretched
857,flip,/fl?p/,verb,???????to rotate or turn something over
33,fluid,/?flu.?d/,noun,???????a material that can easily flow. e.g. water
442,flux,/fl?ks/,noun,???????a state of flow and change
750,footnote,/?f?t?no?t/,noun,???????extra information at the bottom of a page
504,formally,/f?rm?li/,adv,???????in a formal manner
279,formulation,/?f??mj??le???n/,noun,"???????the development of a plan, system, or proposal"
763,forum,/f?r?m/,noun,???????a meeting where people can openly discuss a subject
524,fossil,/?f?s.?l/,noun,???????a plant or animal that has become rock after many thousands of years
181,fraction,/?fr?k.??n/,noun,???????a part of a whole.
645,fracture,/?fr?k.t??r/,noun,???????the result of breaking a hard material; a crack
595,freely,/?f?ili/,adv,"???????able to live, or exist, without being controlled"
697,friction,/?f??k??n?/,noun,???????the act of sliding two objects against each other
820,fringe,/fr?nd?/,noun,???????the edge of something; such as the decorative edge on a piece of clothing
676,fundamentally,/?f?n.d??m?n.tl.i/,adv,???????in a basic and important way
748,fungus,/?f??.g?s/,noun,"???????a group of plants that grow on dead materials and have no flowers, e.g. mushrooms"
294,fusion,/?fju.??n/,noun,"???????when different styles, ideas or designs combine to form something new; in physics: when atoms combine to produce nuclear energy"
788,gauge,/ge?d?/,noun,???????a tool used to measure things
334,generalization,/??en.r?.la??ze?.??n/,noun,???????reasoning from detailed facts to general principles
93,generalize,/?d??n.?r.??la?z/,verb,???????to make a common idea or conclusion from facts
702,genetically,/d??.?n?.t?k.li/,adv,"???????caused or controlled, or by genes"
608,genetics,/d???n?.t?ks/,noun,"???????the scientific study of genes, how a living things develop between generations"
828,ghost,/¨Ào?st/,noun,???????the soul or spirit of a dead person
712,globalization,/?¨Àl??.b?.la??ze?.??n/,noun,"???????the process by which businesses, cultures, and information extend into many different regions throughout the world"
